temperatura,data,hora
19.367500000000003,2016-10-06,07:15:00
19.3625,2016-10-06,08:15:00
19.355,2016-10-06,09:15:00
19.3475,2016-10-06,10:15:00
19.34,2016-10-06,11:15:00
19.3325,2016-10-06,12:15:00
19.33,2016-10-06,13:15:00
19.325,2016-10-06,14:15:00
19.31,2016-10-06,15:15:00
19.314999999999998,2016-10-06,16:15:00
19.32,2016-10-06,17:15:00
19.3125,2016-10-06,18:15:00
19.32,2016-10-06,19:15:00
19.3275,2016-10-06,20:15:00
19.33,2016-10-06,21:15:00
19.33,2016-10-06,22:15:00
19.33,2016-10-06,23:15:00
19.33,2016-10-07,00:15:00
19.3325,2016-10-07,01:15:00
19.322499999999998,2016-10-07,02:15:00
19.32,2016-10-07,03:15:00
19.32,2016-10-07,04:15:00
19.315,2016-10-07,05:15:00
19.295,2016-10-07,06:15:00
19.2925,2016-10-07,07:15:00
19.27,2016-10-07,08:15:00
19.25,2016-10-07,09:15:00
19.2225,2016-10-07,10:15:00
19.197499999999998,2016-10-07,11:15:00
19.1725,2016-10-07,12:15:00
19.1575,2016-10-07,13:15:00
19.145,2016-10-07,14:15:00
19.122500000000002,2016-10-07,15:15:00
19.12,2016-10-07,16:15:00
19.11,2016-10-07,17:15:00
19.117500000000003,2016-10-07,18:15:00
19.1325,2016-10-07,19:15:00
19.1575,2016-10-07,20:15:00
19.16,2016-10-07,21:15:00
19.17,2016-10-07,22:15:00
19.1825,2016-10-07,23:15:00
19.1975,2016-10-08,00:15:00
19.2,2016-10-08,01:15:00
19.2025,2016-10-08,02:15:00
19.2175,2016-10-08,03:15:00
19.22,2016-10-08,04:15:00
19.227500000000003,2016-10-08,05:15:00
19.235,2016-10-08,06:15:00
19.23,2016-10-08,07:15:00
19.215,2016-10-08,08:15:00
19.197499999999998,2016-10-08,09:15:00
19.177500000000002,2016-10-08,10:15:00
19.162499999999998,2016-10-08,11:15:00
19.155,2016-10-08,12:15:00
19.1425,2016-10-08,13:15:00
19.13,2016-10-08,14:15:00
19.125,2016-10-08,15:15:00
19.12,2016-10-08,16:15:00
19.125,2016-10-08,17:15:00
19.1325,2016-10-08,18:15:00
19.155,2016-10-08,19:15:00
19.18,2016-10-08,20:15:00
19.2025,2016-10-08,21:15:00
19.2175,2016-10-08,22:15:00
19.235,2016-10-08,23:15:00
19.25,2016-10-09,00:15:00
19.2725,2016-10-09,01:15:00
19.2875,2016-10-09,02:15:00
19.29,2016-10-09,03:15:00
19.29,2016-10-09,04:15:00
19.302500000000002,2016-10-09,05:15:00
19.3,2016-10-09,06:15:00
19.307499999999997,2016-10-09,07:15:00
19.2925,2016-10-09,08:15:00
19.2775,2016-10-09,09:15:00
19.267500000000002,2016-10-09,10:15:00
19.2575,2016-10-09,11:15:00
19.244999999999997,2016-10-09,12:15:00
19.23,2016-10-09,13:30:00
19.225,2016-10-09,14:30:00
19.21,2016-10-09,15:30:00
19.215,2016-10-09,16:30:00
19.22,2016-10-09,17:30:00
19.2275,2016-10-09,18:30:00
19.26,2016-10-09,19:30:00
19.2775,2016-10-09,20:30:00
19.2975,2016-10-09,21:30:00
19.314999999999998,2016-10-09,22:30:00
19.335,2016-10-09,23:30:00
19.35,2016-10-10,00:30:00
19.367500000000003,2016-10-10,01:30:00
19.3825,2016-10-10,02:30:00
19.3975,2016-10-10,03:30:00
19.41,2016-10-10,04:30:00
19.41,2016-10-10,05:30:00
19.4125,2016-10-10,06:30:00
19.425,2016-10-10,07:30:00
19.4075,2016-10-10,08:30:00
19.405,2016-10-10,09:30:00
19.3875,2016-10-10,10:30:00
19.3775,2016-10-10,11:30:00
19.37,2016-10-10,12:30:00
19.36,2016-10-10,13:30:00
19.345000000000002,2016-10-10,14:30:00
19.34,2016-10-10,15:30:00
19.34,2016-10-10,16:30:00
19.34,2016-10-10,17:30:00
19.347500000000004,2016-10-10,18:30:00
19.3575,2016-10-10,19:30:00
19.377499999999998,2016-10-10,20:30:00
19.3875,2016-10-10,21:30:00
19.4025,2016-10-10,22:30:00
19.427500000000002,2016-10-10,23:30:00
19.4375,2016-10-11,00:30:00
19.45,2016-10-11,01:30:00
19.4525,2016-10-11,02:30:00
19.475,2016-10-11,03:30:00
19.48,2016-10-11,04:30:00
19.48,2016-10-11,05:30:00
19.485,2016-10-11,06:30:00
19.485,2016-10-11,07:30:00
19.475,2016-10-11,08:30:00
19.455000000000002,2016-10-11,09:30:00
19.4425,2016-10-11,10:30:00
19.4575,2016-10-11,11:30:00
19.4525,2016-10-11,12:30:00
19.45,2016-10-11,13:30:00
19.4425,2016-10-11,14:30:00
19.445,2016-10-11,15:30:00
19.43,2016-10-11,16:30:00
19.425,2016-10-11,17:30:00
19.427500000000002,2016-10-11,18:30:00
19.4325,2016-10-11,19:30:00
19.43,2016-10-11,20:30:00
19.427500000000002,2016-10-11,21:30:00
19.43,2016-10-11,22:30:00
19.4375,2016-10-11,23:30:00
19.44,2016-10-12,00:30:00
19.44,2016-10-12,01:30:00
19.44,2016-10-12,02:30:00
19.442500000000003,2016-10-12,03:30:00
19.45,2016-10-12,04:30:00
19.445,2016-10-12,05:30:00
19.4325,2016-10-12,06:30:00
19.4225,2016-10-12,07:30:00
19.4175,2016-10-12,08:30:00
19.3925,2016-10-12,09:30:00
19.372500000000002,2016-10-12,10:30:00
19.36,2016-10-12,11:30:00
19.3475,2016-10-12,12:30:00
19.335,2016-10-12,13:30:00
19.33,2016-10-12,14:30:00
19.32,2016-10-12,15:30:00
19.32,2016-10-12,16:30:00
19.32,2016-10-12,17:30:00
19.340000000000003,2016-10-12,18:30:00
19.3625,2016-10-12,19:30:00
19.377499999999998,2016-10-12,20:30:00
19.395,2016-10-12,21:30:00
19.42,2016-10-12,22:30:00
19.4375,2016-10-12,23:30:00
19.46,2016-10-13,00:30:00
